group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
희두_나연,YJP5Ll6R9oE,"[환승연애2] 16화 / 희두X나연 , 끝나지 않는 네버엔딩 싸움",170846,724,41,0.5,0.25,0.25,2022-10-03T21:10:02Z
해은_규민,jPxTFQPhiSs,해은 현규 환승연애2 보던중 규민 만나자 현규가 했던 SNS 돌발행동  정현규 성해은 환승연애2 20화 리뷰 분석 exchange2,157842,511,41,0.75,0.25,0.0,2022-10-29T12:02:51Z
해은_규민,7X3gK9gFMg4,[환승연애2] 규민 해은 어깨춤,153580,1336,56,0.75,0.25,0.0,2022-09-18T08:28:49Z
해은_규민,EWtssBt-KFY,환승연애2 해은 규민 MV [너는 내 세상이었어],153471,902,35,0.2,0.8,0.0,2022-09-04T08:52:07Z
희두_나연,X008H2HUhnE,[환승연애2] 잠꼬대 하는 나연 #환승연애2 #희두나연,151671,1784,7,0.75,0.25,0.0,2022-10-07T15:56:34Z
희두_나연,50w_Mku0Zr0,환승연애2 최종커플 희두 나연,148039,3173,49,0.6,0.2,0.2,2022-10-28T13:14:50Z
희두_나연,NXLzRsSf3Ao,앞뒤 구분 못하는 희두🤣 #shorts#에잇세컨즈#나연#희두,147278,1607,11,0.8,0.0,0.2,2023-03-13T09:00:28Z
해은_규민,L9Fqey7w2Qg,환승연애2 해은 규민,147211,2978,68,0.5,0.25,0.25,2022-10-28T14:31:34Z
해은_규민,gSRDhsYl5eI,"환승연애에 진심이었던 우리..🥲 해은맘들과 규민대디의 치열한 갈등, 그리고 극적 화합을 이룬 마지막화 시청 모먼트",145011,1358,37,0.8,0.2,0.0,2022-12-22T03:00:24Z
희두_나연,Nhq46aHT3tQ,마음이 전해지지 않는 대화의 이유 - 환승연애 나연 희두 대화분석 사례(3) | 심리대화 LBC,142813,1396,237,0.4,0.4,0.2,2022-10-06T03:15:01Z
해은_규민,fDD6nUleMro,[환승연애2]그리웠던 티키타카 #환승연애2 #해은 #규민,140072,1102,56,0.25,0.5,0.25,2022-10-21T12:32:29Z
희두_나연,rvnUmzIu-zQ,환승연애2 희두 나연,129396,1607,84,1.0,0.0,0.0,2022-10-28T15:43:23Z
희두_나연,n1iILRqH8z8,[캐릭터 티저] 희두X나연의 극한연애... 아니 여행🥶 | 〈극한투어〉 9/22(일) 밤 10시 30분 첫 방송!,125567,976,213,0.25,0.75,0.0,2024-09-04T04:20:11Z
희두_나연,hVm_wvTeqv0,희두 나연 불러 #shorts,117552,826,21,0.4,0.4,0.2,2023-06-15T10:07:00Z
희두_나연,Qih3q089nxo,[환승연애2 최종화] 규민 아닌 희두를 선택한 나연,114883,591,62,0.8,0.2,0.0,2022-10-28T12:08:03Z
해은_규민,KZSjm6M3xwI,재회를 바라는 사람들이 알아야할 심리와 전략 - 환승연애2 규민 해은 사례 분석 | 심리대화 LBC,114163,1408,274,0.25,0.25,0.5,2022-09-21T09:15:00Z
희두_나연,1zCStWDeuuo,"맞지 않는 것 같아 보이는 사람들이 끌리는 이유, 그리고 맞춰갈 수 있는 방법 - 환승연애2 희두 나연 사례 분석| 심리대화 LBC",112289,1638,280,0.5,0.0,0.5,2022-09-20T09:15:00Z
희두_나연,Zr2--hasMX4,[환승연애2 마지막화] 나연 희두 새로운 마음가짐으로! 있는 그대로의 모습을 인정할 줄 아는 연애하즈아아아!! 행복해랏,109638,892,40,0.75,0.25,0.0,2022-10-28T20:07:11Z
희두_나연,w0h2ColfBpo,나연이 광대승천시킨 희두의 행동?! #삿포로,106902,2008,18,1.0,0.0,0.0,2024-04-16T08:00:32Z
희두_나연,ydRbAiCKJl4,[ENG] 희두(Heedoo)가 더빙하는 나연(Nayeon)이의 &#39;인간 구찌&#39; 메이크업💄💗 ㅣ남희두ㅣ이나연ㅣ데일리 메이크업,105497,1444,73,0.8,0.0,0.2,2023-02-21T09:00:36Z
희두_나연,1go_CDjC-Bs,[환승연애2] 희두랑 걔네다 희두와 아이들 #남희두 #이나연 #희두나연 #나연희두,98996,619,10,0.75,0.0,0.25,2022-09-30T10:27:15Z
해은_규민,BpA_awWaTVM,"환승연애2 15화 현규 해은을 선택, 규민의 질투? (+내일 봬요 누나)",92693,393,103,0.4,0.2,0.4,2022-09-23T14:03:08Z
희두_나연,ShYlT3UR8to,[환승연애2] 마지막화 희두나연 최종선택 그럼에도 나연을 선택한 이유,91064,643,23,1.0,0.0,0.0,2022-10-29T01:13:08Z
희두_나연,TdHWgkS5HSw,[환승연애2] 희두 나연 : 속이 다 뚫리네,90495,961,36,0.8,0.0,0.2,2022-10-28T16:22:13Z
희두_나연,U_Al1p4IQmU,[환승연애2] 나연X희두 &quot;우린 참 별나고 이상한 사이야&quot; | 레드벨벳-Psycho,90371,2050,22,0.75,0.0,0.25,2022-10-08T12:12:19Z
희두_나연,85psDme4308,모두가 한마음으로 응원하던 그시절 희두X나연..❤️,88040,1565,21,0.8,0.0,0.2,2023-10-31T13:00:08Z
해은_규민,kMf0RjjCb1A,환승연애2 해은 장애물과 큰 상처가 아니길 바라는 규민,85891,565,146,0.2,0.8,0.0,2022-09-29T06:12:41Z
희두_나연,uhq2lTXQDCk,남희두 연봉 공개?!ㅣ왓츠인마이앱📱 #환승연애 #나연 #희두,85565,439,3,0.67,0.0,0.33,2023-11-23T08:00:34Z
희두_나연,fvnIbxDTGdU,본인 개무시해도 희두 사랑한다는 나연 #환승연애2 #나연 #희두 #재회,84432,690,10,0.2,0.6,0.2,2025-09-29T13:30:40Z
해은_규민,eXQUwtFeMUI,환승연애2 다시 만나 오매불망 된 해은 묵묵히 짐을 옮겨 주는 규민,83178,454,46,0.33,0.67,0.0,2022-09-28T11:37:33Z
해은_규민,ZKaVNBKKb3I,[환승연애2 18회리뷰&amp; 19회예고] 현규-해은 최종선택! 규민은 결국...!,83140,537,41,0.2,0.6,0.2,2022-10-16T05:11:09Z
해은_규민,o_uix8LGD6Y,&#39;환승연애2&#39; 해은 X 규민 커플을 위해 만들어진 노래인 듯..찰떡 #shorts,79451,929,7,0.6,0.4,0.0,2022-12-26T04:24:49Z
희두_나연,uuHnBmPuG-g,희두팀 골 먹혀서 우는 나연이🥹 l 야... 우냐?,78527,1163,4,1.0,0.0,0.0,2024-05-05T11:00:43Z
희두_나연,-b64PimmBrk,[𝒑𝒍𝒂𝒚𝒍𝒊𝒔𝒕] 왜 사랑하는데 안될까요 I 환승연애2 나연 희두 플레이리스트,77988,1383,13,0.75,0.0,0.25,2022-10-01T07:18:17Z
희두_나연,sU1WNhk0dq4,환승연애2 최종화 해은 선택 지인 등판 희두나연 인스타 복선  EXchange2,77676,181,3,1.0,0.0,0.0,2022-10-17T12:30:18Z
해은_규민,obpF3s6vaes,환승연애2 과몰입러가 만든 해은X규민 스토리 자작곡 - 너는 어때  by 이갱호,76572,899,61,0.6,0.0,0.4,2022-10-23T12:56:44Z
희두_나연,u6QcFVd9nng,[sub] 비주얼 합 미쳤다. 희두♥나연 커플 인터뷰,72456,1245,68,0.6,0.0,0.4,2023-02-10T05:00:19Z
해은_규민,YfTIps4EgCE,규민 앞에서 해은에게 고백하는 현규,70698,1050,11,0.6,0.2,0.2,2022-10-28T11:42:30Z
희두_나연,eAlz4dfTjOk,환승연애2 현규 해은 카페 모임현장 희두 나연과 2차 모임 포착 횟집 방문?,70213,426,26,0.8,0.2,0.0,2022-11-12T14:33:30Z
